File mem_tracer.c, line 89, storeCommands:main:global allocated new memory segment at address 0xaaaacf4c7300 to size 80.
File mem_tracer.c, line 45, insertCommand:storeCommands:main:global allocated new memory segment at address 0xaaaacf4d2930 to size 32.
File mem_tracer.c, line 45, insertCommand:storeCommands:main:global allocated new memory segment at address 0xaaaacf4d29b0 to size 32.
File mem_tracer.c, line 45, insertCommand:storeCommands:main:global allocated new memory segment at address 0xaaaacf4d2a30 to size 32.
File mem_tracer.c, line 45, insertCommand:storeCommands:main:global allocated new memory segment at address 0xaaaacf4d2ab0 to size 32.
File mem_tracer.c, line 45, insertCommand:storeCommands:main:global allocated new memory segment at address 0xaaaacf4d2b30 to size 32.
File mem_tracer.c, line 45, insertCommand:storeCommands:main:global allocated new memory segment at address 0xaaaacf4d2bc0 to size 32.
File mem_tracer.c, line 45, insertCommand:storeCommands:main:global allocated new memory segment at address 0xaaaacf4d2c50 to size 32.
File mem_tracer.c, line 45, insertCommand:storeCommands:main:global allocated new memory segment at address 0xaaaacf4d2ce0 to size 32.
File mem_tracer.c, line 45, insertCommand:storeCommands:main:global allocated new memory segment at address 0xaaaacf4d2d70 to size 32.
File mem_tracer.c, line 45, insertCommand:storeCommands:main:global allocated new memory segment at address 0xaaaacf4d2e00 to size 32.
